,date,b_t,y_t,r0_t,diff_t
0,2020-01-22,,,,
1,2020-01-23,,,,
2,2020-01-24,,,,
3,2020-01-25,,,,
4,2020-01-26,,,,
5,2020-01-27,,,,
6,2020-01-28,,,,
7,2020-01-29,,,,
8,2020-01-30,,,,
9,2020-01-31,,,,
10,2020-02-01,,,,
11,2020-02-02,,,,
12,2020-02-03,,,,
13,2020-02-04,,,,
14,2020-02-05,,,,
15,2020-02-06,,,,
16,2020-02-07,,,,
17,2020-02-08,,,,
18,2020-02-09,,,,
19,2020-02-10,,,,
20,2020-02-11,,,,
21,2020-02-12,,,,
22,2020-02-13,,,,
23,2020-02-14,,,,
24,2020-02-15,,,,
25,2020-02-16,,,,
26,2020-02-17,,,,
27,2020-02-18,,,,
28,2020-02-19,,,,
29,2020-02-20,,,,
30,2020-02-21,,,,
31,2020-02-22,,,,
32,2020-02-23,,,,
33,2020-02-24,,,,
34,2020-02-25,inf,,,
35,2020-02-26,0.0,0.0,,0.0
36,2020-02-27,0.0,0.0,,0.0
37,2020-02-28,1.0,0.0,inf,1.0
38,2020-02-29,0.0,0.0,,0.0
39,2020-03-01,0.0,0.0,,0.0
40,2020-03-02,0.0,0.0,,0.0
41,2020-03-03,1.0,0.0,inf,1.0
42,2020-03-04,0.0,0.0,,0.0
43,2020-03-05,2.25,0.0,inf,2.25
44,2020-03-06,0.0,0.0,,0.0
45,2020-03-07,0.5384615384615384,0.0,inf,0.5384615384615384
46,2020-03-08,0.25,0.0,inf,0.25
47,2020-03-09,0.24,0.0,inf,0.24
48,2020-03-10,0.22580645161290322,0.0,inf,0.22580645161290322
49,2020-03-11,0.3684210526315789,0.0,inf,0.3684210526315789
50,2020-03-12,1.9038461538461537,0.0,inf,1.9038461538461537
51,2020-03-13,0.0,0.0,,0.0
52,2020-03-14,0.0728476821192053,0.0,inf,0.0728476821192053
53,2020-03-15,0.2345679012345679,0.006172839506172839,38.0,0.22839506172839505
54,2020-03-16,0.6030150753768844,0.005025125628140704,119.99999999999999,0.5979899497487436
55,2020-03-17,0.1540880503144654,0.0,inf,0.1540880503144654
56,2020-03-18,0.670299727520436,0.0,inf,0.670299727520436
57,2020-03-19,0.2724306688417618,0.0,inf,0.2724306688417618
58,2020-03-20,0.28717948717948716,0.0,inf,0.28717948717948716
59,2020-03-21,0.5129482071713147,0.0,inf,0.5129482071713147
60,2020-03-22,0.24292297564186965,0.0,inf,0.24292297564186965
61,2020-03-23,0.16472457627118645,0.0,inf,0.16472457627118645
62,2020-03-24,0.13369713506139155,0.0,inf,0.13369713506139155
63,2020-03-25,0.16566385880465304,0.001604492579221821,103.25000000000001,0.1640593662254312
64,2020-03-26,0.14369400413507927,0.0,inf,0.14369400413507927
65,2020-03-27,0.14100632720699005,0.0,inf,0.14100632720699005
66,2020-03-28,0.08634803274359651,0.0,inf,0.08634803274359651
67,2020-03-29,0.07292173067574137,0.02771025765678172,2.631578947368421,0.04521147301895965
68,2020-03-30,0.25488372093023254,0.0016279069767441861,156.57142857142856,0.25325581395348834
69,2020-03-31,0.20040823900538132,0.0,inf,0.20040823900538132
70,2020-04-01,0.1737517390632246,0.0,inf,0.1737517390632246
71,2020-04-02,0.1286711444751745,0.0,inf,0.1286711444751745
72,2020-04-03,0.14212368728121352,0.0,inf,0.14212368728121352
73,2020-04-04,0.0744789538210053,0.0,inf,0.0744789538210053
74,2020-04-05,0.09061519444708567,0.0,inf,0.09061519444708567
75,2020-04-06,0.15265911072362684,0.0,inf,0.15265911072362684
76,2020-04-07,0.1515013992890099,0.0,inf,0.1515013992890099
77,2020-04-08,0.11764319495533368,0.00302154492905938,38.93478260869565,0.1146216500262743
78,2020-04-09,0.08480169721256409,0.0,inf,0.08480169721256409
79,2020-04-10,0.0555193394176445,0.0,inf,0.0555193394176445
80,2020-04-11,0.07030365414307771,0.0,inf,0.07030365414307771
81,2020-04-12,0.05448163108290056,0.0,inf,0.05448163108290056
82,2020-04-13,0.07423959140863697,0.13101372611610196,0.566655064392621,-0.05677413470746499
83,2020-04-14,0.13798104815316187,0.5308450976600271,0.2599271402550091,-0.3928640495068652
84,2020-04-15,0.152651696129957,0.0,inf,0.152651696129957
85,2020-04-16,0.21001727115716753,0.0,inf,0.21001727115716753
86,2020-04-17,0.1577504995717956,0.0,inf,0.1577504995717956
87,2020-04-18,0.09310582897721668,0.39964493539796825,0.23297137216189534,-0.30653910642075155
88,2020-04-19,0.13966718816669038,0.0,inf,0.13966718816669038
89,2020-04-20,0.1361537501559965,0.053725196555597154,2.5342624854819977,0.08242855360039936
90,2020-04-21,0.14486654752983225,0.13414423243212084,1.079931241942415,0.010722315097711405
91,2020-04-22,0.21981406490617691,0.07157930759139908,3.0709163346613546,0.14823475731477784
92,2020-04-23,0.1805086429564872,0.053745281144446655,3.358595194085028,0.12676336181204054
93,2020-04-24,0.21724563569035443,0.06634632339975313,3.2744186046511627,0.1508993122906013
94,2020-04-25,0.13586394453594822,0.03799747194239093,3.575604838709678,0.0978664725935573
95,2020-04-26,0.14056939501779359,0.034540506594096715,4.069696969696969,0.10602888842369687
96,2020-04-27,0.16747105769534085,0.04422573420396833,3.7867332382310983,0.12324532349137252
97,2020-04-28,0.1690631318804763,0.0445967198382386,3.7909319899244336,0.12446641204223771
98,2020-04-29,0.17504995004995005,0.04502997002997003,3.887409872434831,0.13001998001998002
99,2020-04-30,0.10186535826371391,0.04650134818547496,2.1905893536121672,0.055364010078238955
100,2020-05-01,0.09526502062784026,0.06068982848526733,1.569703243616287,0.03457519214257293
101,2020-05-02,0.08979393546819966,0.04157726407837739,2.15968841285297,0.048216671389822274
102,2020-05-03,0.12509655492043875,0.05453421906380349,2.2939093484419266,0.07056233585663527
103,2020-05-04,0.11299108914463003,0.04339983404884736,2.603491271820449,0.06959125509578268
104,2020-05-05,0.1771788990825688,0.053106449001619,3.3362972372181647,0.12407245008094982
105,2020-05-06,0.1284263273971164,0.059712241009406926,2.150753768844221,0.06871408638770948
106,2020-05-07,0.14451167296056602,0.055409711790883436,2.6080567519635167,0.08910196116968258
107,2020-05-08,0.10992523846352152,0.030781129156999227,3.571189279731993,0.0791441093065223
108,2020-05-09,0.07370998566650741,0.03908265647396082,1.8860024449877753,0.03462732919254659
