,date,I,I_p,C_p
0,2020-01-22,0,0.0,0.0
1,2020-01-23,0,0.0,0.0
2,2020-01-24,2,2.0,2.0
3,2020-01-25,3,3.0,3.0
4,2020-01-26,3,3.0,3.0
5,2020-01-27,3,0.0,3.0
6,2020-01-28,4,0.0,4.0
7,2020-01-29,5,4.451061992756946,5.0
8,2020-01-30,5,4.257202123317113,5.0
9,2020-01-31,5,6.676596520447568,5.0
10,2020-02-01,6,8.154745124031969,6.0
11,2020-02-02,6,6.2732400482700665,6.0
12,2020-02-03,6,6.107013324276253,6.0
13,2020-02-04,6,7.095327274517026,6.0
14,2020-02-05,6,7.459111884554034,6.0
15,2020-02-06,6,5.7073762265974555,6.0
16,2020-02-07,6,5.7073762265974555,6.0
17,2020-02-08,11,5.7073762265974555,11.0
18,2020-02-09,11,5.7073762265974555,11.0
19,2020-02-10,11,12.701962026308491,11.0
20,2020-02-11,11,18.024635986279954,11.0
21,2020-02-12,9,19.920117014999782,11.0
22,2020-02-13,9,10.463522592548314,11.0
23,2020-02-14,9,9.006015533279196,11.0
24,2020-02-15,7,7.7515515716360675,12.0
25,2020-02-16,7,7.013910823246407,12.0
26,2020-02-17,7,7.009192053955437,12.0
27,2020-02-18,7,5.738654328579648,12.0
28,2020-02-19,7,5.192551367896078,12.0
29,2020-02-20,7,6.658605335353347,12.0
30,2020-02-21,7,6.658605335353347,12.0
31,2020-02-22,7,6.658605335353347,12.0
32,2020-02-23,7,6.658605335353347,12.0
33,2020-02-24,7,6.658605335353347,12.0
34,2020-02-25,2,6.658605335353347,14.0
35,2020-02-26,5,6.658605335353347,18.0
36,2020-02-27,25,2.991920866424358,38.0
37,2020-02-28,44,2.330157503736596,57.0
38,2020-02-29,86,38.312128774108906,100.0
39,2020-03-01,116,169.34810902858115,130.0
40,2020-03-02,176,423.36832722738984,191.0
41,2020-03-03,188,353.4477747960526,204.0
42,2020-03-04,272,461.0549589390208,288.0
43,2020-03-05,362,348.71551911508345,380.0
44,2020-03-06,635,470.3550343758226,656.0
45,2020-03-07,936,555.8240001298968,959.0
46,2020-03-08,1105,1321.000121044012,1136.0
47,2020-03-09,1188,2112.057330067986,1219.0
48,2020-03-10,1749,2543.259043614778,1794.0
49,2020-03-11,2233,2004.9544469782156,2293.0
50,2020-03-12,2233,2420.102564987199,2293.0
51,2020-03-13,3590,3489.509070683416,3681.0
52,2020-03-14,4393,3942.499180884236,4496.0
53,2020-03-15,4429,5253.7060677342215,4532.0
54,2020-03-16,6522,6707.390562885858,6683.0
55,2020-03-17,7554,8186.3953335843335,7715.0
56,2020-03-18,8963,8828.601952955654,9124.0
57,2020-03-19,10714,10801.955648652453,10970.0
58,2020-03-20,12295,15433.148735453682,12758.0
59,2020-03-21,13888,14511.473454557792,14463.0
60,2020-03-22,13361,17630.444662051308,16243.0
61,2020-03-23,17055,18921.23785832839,20123.0
62,2020-03-24,18270,16750.9063118745,22622.0
63,2020-03-25,20360,19277.13115138108,25600.0
64,2020-03-26,22898,21753.666671519066,29551.0
65,2020-03-27,25698,28162.09632921135,33402.0
66,2020-03-28,30064,26736.59753945019,38105.0
67,2020-03-29,30871,31649.96892666545,40708.0
68,2020-03-30,34176,38747.60354678055,45170.0
69,2020-03-31,39782,39404.77169849175,52827.0
70,2020-04-01,42282,42033.572791012906,57749.0
71,2020-04-02,41983,44819.116907088166,59929.0
72,2020-04-03,44547,53331.879868302145,65202.0
73,2020-04-04,46354,50943.41177693336,69500.0
74,2020-04-05,46970,48035.9327968157,71412.0
75,2020-04-06,48989,48533.230362754104,75343.0
76,2020-04-07,49297,51240.29595490656,79163.0
77,2020-04-08,50718,51718.90337049319,83057.0
78,2020-04-09,51725,51193.88163585179,87366.0
79,2020-04-10,53328,53826.01222576394,91738.0
80,2020-04-11,54349,53377.27607008802,94863.0
81,2020-04-12,79831,56444.46800475071,121712.0
82,2020-04-13,82407,56007.68038785142,125394.0
83,2020-04-14,85829,89499.91335901216,130365.0
84,2020-04-15,85461,116474.11430669614,133585.0
85,2020-04-16,95341,131064.41867887731,146075.0
86,2020-04-17,94981,90614.91007672444,148084.0
87,2020-04-18,92778,100502.8134710067,148086.0
88,2020-04-19,96713,102470.02287404488,153011.0
89,2020-04-20,97717,101899.92051902851,155393.0
