,date,b_t,y_t,r0_t,diff_t
0,2020-01-22,,,,
1,2020-01-23,,,,
2,2020-01-24,,,,
3,2020-01-25,,,,
4,2020-01-26,inf,,,
5,2020-01-27,3.0,0.0,inf,3.0
6,2020-01-28,0.0,0.0,,0.0
7,2020-01-29,0.0,0.0,,0.0
8,2020-01-30,0.25,0.0,inf,0.25
9,2020-01-31,0.6,0.0,inf,0.6
10,2020-02-01,0.25,0.0,inf,0.25
11,2020-02-02,0.2,0.0,inf,0.2
12,2020-02-03,0.0,0.0,,0.0
13,2020-02-04,0.0,0.0,,0.0
14,2020-02-05,0.0,0.0,,0.0
15,2020-02-06,0.08333333333333333,0.0,inf,0.08333333333333333
16,2020-02-07,0.0,0.0,,0.0
17,2020-02-08,0.07692307692307693,0.0,inf,0.07692307692307693
18,2020-02-09,0.0,0.0,,0.0
19,2020-02-10,0.14285714285714285,0.0,inf,0.14285714285714285
20,2020-02-11,0.0,0.0,,0.0
21,2020-02-12,0.0,0.0625,0.0,-0.0625
22,2020-02-13,0.0,0.0,,0.0
23,2020-02-14,0.0,0.0,,0.0
24,2020-02-15,0.0,0.0,,0.0
25,2020-02-16,0.0,0.0,,0.0
26,2020-02-17,0.0,0.7333333333333333,0.0,-0.7333333333333333
27,2020-02-18,0.0,0.0,,0.0
28,2020-02-19,0.0,0.0,,0.0
29,2020-02-20,0.0,0.5,0.0,-0.5
30,2020-02-21,0.0,0.0,,0.0
31,2020-02-22,0.0,0.0,,0.0
32,2020-02-23,0.0,0.0,,0.0
33,2020-02-24,0.5,0.0,inf,0.5
34,2020-02-25,3.3333333333333335,0.3333333333333333,10.000000000000002,3.0
35,2020-02-26,1.5833333333333333,0.08333333333333333,19.0,1.5
36,2020-02-27,0.06666666666666667,0.0,inf,0.06666666666666667
37,2020-02-28,0.96875,0.0,inf,0.96875
38,2020-02-29,0.8095238095238095,0.0,inf,0.8095238095238095
39,2020-03-01,0.2543859649122807,0.0,inf,0.2543859649122807
40,2020-03-02,0.25874125874125875,0.0,inf,0.25874125874125875
41,2020-03-03,0.36666666666666664,0.0,inf,0.36666666666666664
42,2020-03-04,0.8943089430894309,0.0,inf,0.8943089430894309
43,2020-03-05,0.4034334763948498,0.002145922746781116,188.0,0.4012875536480687
44,2020-03-06,0.19754977029096477,0.0015313935681470138,129.0,0.19601837672281774
45,2020-03-07,0.3085787451984635,0.0,inf,0.3085787451984635
46,2020-03-08,0.13111545988258316,0.0,inf,0.13111545988258316
47,2020-03-09,0.2430795847750865,0.0,inf,0.2430795847750865
48,2020-03-10,0.31315240083507306,0.0048712595685455815,64.28571428571428,0.3082811412665275
49,2020-03-11,0.09042553191489362,0.0,inf,0.09042553191489362
50,2020-03-12,0.7770731707317073,0.01024390243902439,75.85714285714286,0.7668292682926829
51,2020-03-13,0.2506902263942573,0.0,inf,0.2506902263942573
52,2020-03-14,0.26666666666666666,0.0,inf,0.26666666666666666
53,2020-03-15,0.25636110142906937,0.0036598117811084,70.04761904761905,0.25270128964796096
54,2020-03-16,0.27518085698386197,0.0,inf,0.27518085698386197
55,2020-03-17,0.33449705433122406,0.0041457560549858176,80.68421052631578,0.33035129827623827
56,2020-03-18,0.244136460554371,0.0006560603575528948,372.125,0.2434804001968181
57,2020-03-19,0.2971047945657192,0.0044186506627975995,67.23880597014926,0.2926861439029216
58,2020-03-20,0.11978980664251825,0.0027039436763430435,44.301886792452834,0.11708586296617521
59,2020-03-21,0.12102667153818049,0.0015071245889660212,80.3030303030303,0.11951954694921446
60,2020-03-22,0.1694611022722637,0.0,inf,0.1694611022722637
61,2020-03-23,0.1359053964488785,0.10384762967872467,1.3087000335908632,0.03205776677015383
62,2020-03-24,0.1449334144527817,0.010275130129115122,14.105263157894736,0.13465828432366658
63,2020-03-25,0.19523383973786118,0.0633303544831695,3.0827845719661338,0.1319034852546917
64,2020-03-26,0.18048318332543817,0.025922416969314174,6.96243654822335,0.15456076635612398
65,2020-03-27,0.1534726812700873,0.04155364591643683,3.6933625891387822,0.11191903535365048
66,2020-03-28,0.08814907443471844,0.014964842869149874,5.890410958904109,0.07318423156556857
67,2020-03-29,0.08935836946763194,0.08192775687188401,1.0906971321986476,0.007430612595747926
68,2020-03-30,0.09087978763746682,0.04929844520288206,1.8434615384615385,0.04158134243458476
69,2020-03-31,0.10774944022718584,0.047330384286312414,2.2765384615384616,0.06041905594087343
70,2020-04-01,0.11561834786788436,0.06420380416123052,1.800802139037433,0.05141454370665384
71,2020-04-02,0.10118046598200728,0.03485885022939899,2.902576112412178,0.06632161575260828
72,2020-04-03,0.07294553583732717,0.02794408121392151,2.61041095890411,0.04500145462340566
73,2020-04-04,0.0570126597116399,0.03370062126362677,1.6917391304347826,0.023312038448013127
74,2020-04-05,0.04331390770200032,0.0,inf,0.04331390770200032
75,2020-04-06,0.05603590250329381,0.10129830917874397,0.5531770762769272,-0.04526240667545016
76,2020-04-07,0.07618664290026737,0.14689647241468534,0.5186417457676876,-0.07070982951441797
77,2020-04-08,0.0715733135334973,0.09446687394620014,0.7576551498280661,-0.022893560412702837
78,2020-04-09,0.06063292541991863,0.023841562841357036,2.5431606905710495,0.036791362578561596
79,2020-04-10,0.042265349437327265,0.05324395718495671,0.7938055635216519,-0.010978607747629446
80,2020-04-11,0.04106712777125918,0.044772432532575804,0.9172413793103448,-0.0037053047613166204
81,2020-04-12,0.03170520052067192,0.06198475175106924,0.5115000000000001,-0.03027955123039732
82,2020-04-13,0.018968327527245997,0.062322221867109846,0.30435897435897435,-0.04335389433986385
83,2020-04-14,0.048175060552910716,0.07349870542052953,0.6554545454545454,-0.02532364486761881
84,2020-04-15,0.04622187184013436,0.07540831890863596,0.6129545454545455,-0.029186447068501598
85,2020-04-16,0.06000423683931787,0.10793348162270947,0.5559371933267909,-0.0479292447833916
86,2020-04-17,0.034080584450501564,0.042387495132669525,0.8040244969378826,-0.008306910682167962
87,2020-04-18,0.03206626404651945,0.04861357814632687,0.6596153846153845,-0.01654731409980742
88,2020-04-19,0.030514468230731208,0.06654245408570668,0.45857142857142863,-0.03602798585497547
89,2020-04-20,0.020807447291087314,0.07297398576021143,0.28513513513513516,-0.05216653846912411
90,2020-04-21,0.04392608930875192,0.0873943984352241,0.5026190476190475,-0.043468309126472184
