,date,I,I_p,C_p
0,2020-01-22,0,0.0,0.0
1,2020-01-23,0,0.0,0.0
2,2020-01-24,0,0.0,0.0
3,2020-01-25,0,0.0,0.0
4,2020-01-26,0,0.0,0.0
5,2020-01-27,1,1.0,1.0
6,2020-01-28,4,0.0,4.0
7,2020-01-29,4,0.0,4.0
8,2020-01-30,4,0.0,4.0
9,2020-01-31,5,0.0,5.0
10,2020-02-01,8,0.0,8.0
11,2020-02-02,10,13.190336541304912,10.0
12,2020-02-03,12,8.725873141097058,12.0
13,2020-02-04,12,14.973359707761533,12.0
14,2020-02-05,12,22.78748146349691,12.0
15,2020-02-06,12,22.407494134911914,12.0
16,2020-02-07,13,16.435390493400824,13.0
17,2020-02-08,13,14.33323784447065,13.0
18,2020-02-09,14,12.742036532214332,14.0
19,2020-02-10,14,13.529902931809248,14.0
20,2020-02-11,16,14.366605483313053,16.0
21,2020-02-12,16,15.254986365923214,16.0
22,2020-02-13,15,16.526234926201347,16.0
23,2020-02-14,15,18.633187447200488,16.0
24,2020-02-15,15,16.760956039275847,16.0
25,2020-02-16,15,16.760956039275847,16.0
26,2020-02-17,15,14.19072435339861,16.0
27,2020-02-18,4,14.190651621920619,16.0
28,2020-02-19,4,14.126465405143358,16.0
29,2020-02-20,4,7.752747251324656,16.0
30,2020-02-21,2,4.0071426779729125,16.0
31,2020-02-22,2,1.6299038370723928,16.0
32,2020-02-23,2,0.14310146173304492,16.0
33,2020-02-24,2,1.726844157280831,16.0
34,2020-02-25,3,1.1346435467129288,17.0
35,2020-02-26,12,0.7916658528939822,27.0
36,2020-02-27,30,2.866658016787357,46.0
37,2020-02-28,32,20.755674552938057,48.0
38,2020-02-29,63,104.53419206686449,79.0
39,2020-03-01,114,158.77155986883463,130.0
40,2020-03-02,143,302.3033918340145,159.0
41,2020-03-03,180,344.8695969760958,196.0
42,2020-03-04,246,330.5654892812301,262.0
43,2020-03-05,466,475.83454650565466,482.0
44,2020-03-06,653,514.3443237109121,670.0
45,2020-03-07,781,825.5354694256993,799.0
46,2020-03-08,1022,1397.509161413397,1040.0
47,2020-03-09,1156,1759.0535741496565,1176.0
48,2020-03-10,1437,2264.014515054574,1457.0
49,2020-03-11,1880,1966.2785709978366,1908.0
50,2020-03-12,2050,2167.2939780259658,2078.0
51,2020-03-13,3622,2753.156452936444,3675.0
52,2020-03-14,4530,3009.2623945374876,4585.0
53,2020-03-15,5738,5500.3220353775205,5795.0
54,2020-03-16,7188,8179.277282510754,7272.0
55,2020-03-17,9166,10084.49131831728,9257.0
56,2020-03-18,12194,14825.162027287068,12327.0
57,2020-03-19,15163,14392.570407153304,15320.0
58,2020-03-20,19601,19111.80201147524,19848.0
59,2020-03-21,21896,24205.81806156051,22213.0
60,2020-03-22,24513,32192.238377038608,24873.0
61,2020-03-23,28667,36255.46724074645,29056.0
62,2020-03-24,29586,37899.5823434265,32986.0
63,2020-03-25,33570,39571.29638101109,37323.0
64,2020-03-26,37998,37703.721063291916,43938.0
65,2020-03-27,43871,41973.227699619674,50871.0
66,2020-03-28,48781,46937.935867140994,57695.0
67,2020-03-29,52351,52187.46989038966,62095.0
68,2020-03-30,52740,63692.85350457919,66885.0
69,2020-03-31,54933,67958.84071567713,71808.0
70,2020-04-01,58252,68120.80554285782,77872.0
71,2020-04-02,61247,62814.23132945404,84794.0
72,2020-04-03,65309,61950.6606177412,91159.0
73,2020-04-04,68248,65204.74624451112,96092.0
74,2020-04-05,69839,71102.59054063617,100123.0
75,2020-04-06,72864,76971.50801954251,103374.0
76,2020-04-07,69566,77307.25692589043,107663.0
77,2020-04-08,64647,80610.3109496665,113296.0
78,2020-04-09,63167,76163.81765542954,118181.0
79,2020-04-10,65491,70557.15196223029,122171.0
80,2020-04-11,64772,61286.32588524563,124908.0
81,2020-04-12,64532,57254.00310620168,127854.0
82,2020-04-13,62578,60110.63838864594,130072.0
83,2020-04-14,59865,66802.12167233975,131359.0
84,2020-04-15,58349,65271.805708928434,134753.0
85,2020-04-16,56646,58012.98081878124,137698.0
86,2020-04-17,53931,55952.7321542655,141397.0
87,2020-04-18,53483,52528.03845690478,143342.0
88,2020-04-19,52598,50951.626303690195,145184.0
89,2020-04-20,50703,49938.16990461463,147065.0
90,2020-04-21,48058,48672.47622776382,148291.0
