,date,I,I_p,C_p
0,2020-01-22,0,0.0,0.0
1,2020-01-23,0,0.0,0.0
2,2020-01-24,0,0.0,0.0
3,2020-01-25,0,0.0,0.0
4,2020-01-26,0,0.0,0.0
5,2020-01-27,0,0.0,0.0
6,2020-01-28,0,0.0,0.0
7,2020-01-29,0,0.0,0.0
8,2020-01-30,0,0.0,0.0
9,2020-01-31,2,0.0,2.0
10,2020-02-01,2,0.0,2.0
11,2020-02-02,2,0.0,2.0
12,2020-02-03,2,1.9408910470116187,2.0
13,2020-02-04,2,1.9408910470116187,2.0
14,2020-02-05,2,1.9408910470116187,2.0
15,2020-02-06,2,1.9408910470116187,2.0
16,2020-02-07,3,1.9408910470116187,3.0
17,2020-02-08,3,1.9408910470116187,3.0
18,2020-02-09,3,6.841046453953067,3.0
19,2020-02-10,3,2.9113365554497097,3.0
20,2020-02-11,3,2.9113365554497097,3.0
21,2020-02-12,3,2.9113365554497097,3.0
22,2020-02-13,3,2.9113365554497097,3.0
23,2020-02-14,3,2.9113365554497097,3.0
24,2020-02-15,3,2.9113365554497097,3.0
25,2020-02-16,3,2.9113365554497097,3.0
26,2020-02-17,3,2.9113365554497097,3.0
27,2020-02-18,3,2.9113365554497097,3.0
28,2020-02-19,3,2.9113365554497097,3.0
29,2020-02-20,3,2.9113365554497097,3.0
30,2020-02-21,19,2.9113365554497097,20.0
31,2020-02-22,59,2.9113365554497097,62.0
32,2020-02-23,150,43.030081024445785,155.0
33,2020-02-24,221,272.5227973528264,229.0
34,2020-02-25,311,846.2468204618367,322.0
35,2020-02-26,438,483.2093667115986,453.0
36,2020-02-27,593,612.8182829018365,655.0
37,2020-02-28,821,862.3792816404426,888.0
38,2020-02-29,1053,1077.2395388004884,1128.0
39,2020-03-01,1577,1595.6482667494863,1694.0
40,2020-03-02,1835,1737.8320150916406,2036.0
41,2020-03-03,2263,3495.257693057352,2502.0
42,2020-03-04,2706,2473.1586691775187,3089.0
43,2020-03-05,3296,3444.5585610537464,3858.0
44,2020-03-06,3916,3882.1854878542863,4636.0
45,2020-03-07,5061,4928.874048465544,5883.0
46,2020-03-08,6387,5488.428689319272,7375.0
47,2020-03-09,7985,8537.82751239793,9172.0
48,2020-03-10,8794,10088.733173342533,10149.0
49,2020-03-11,10590,12355.448287840445,12462.0
50,2020-03-12,13052,10768.123111447116,15113.0
51,2020-03-13,14955,15532.41640561048,17660.0
52,2020-03-14,17750,19856.03372822237,21157.0
53,2020-03-15,20603,19832.312756477757,24747.0
54,2020-03-16,23073,24897.196234343686,27980.0
55,2020-03-17,26062,27774.87565930809,31506.0
56,2020-03-18,28710,28649.916556516964,35713.0
57,2020-03-19,33190,33059.9036063271,41035.0
58,2020-03-20,38549,35067.48589627893,47021.0
59,2020-03-21,42681,44860.841375375945,53578.0
60,2020-03-22,46638,51989.07874102182,59138.0
61,2020-03-23,50826,52009.537507928435,63927.0
62,2020-03-24,54030,55616.89429741032,69176.0
63,2020-03-25,57521,60742.52742874901,74386.0
64,2020-03-26,62013,60818.71466237215,80589.0
65,2020-03-27,66414,64650.161049181435,86498.0
66,2020-03-28,70065,72605.93656568015,92472.0
67,2020-03-29,73880,76028.75604500415,97689.0
68,2020-03-30,75528,77113.53688645143,101739.0
69,2020-03-31,77635,81349.45651554388,105792.0
70,2020-04-01,80572,78405.88049523457,110574.0
71,2020-04-02,83049,81887.70958080361,115242.0
72,2020-04-03,85388,86706.09635676356,119827.0
73,2020-04-04,88274,88101.16917521821,124632.0
74,2020-04-05,91246,90007.92661041947,128948.0
75,2020-04-06,93187,93362.45400636329,132547.0
76,2020-04-07,94067,96515.32156053727,135586.0
77,2020-04-08,95262,96820.36386676383,139422.0
78,2020-04-09,96877,95836.80717087304,143626.0
79,2020-04-10,98273,96867.35384889944,147577.0
80,2020-04-11,100269,99962.9677742755,152271.0
81,2020-04-12,102253,101630.43905416444,156363.0
82,2020-04-13,103616,104267.09725261267,159516.0
83,2020-04-14,104291,106339.82742740856,162488.0
84,2020-04-15,105418,105286.94427683805,165155.0
85,2020-04-16,106607,105383.09201516076,168941.0
86,2020-04-17,106962,107382.59554601721,172434.0
87,2020-04-18,107771,108541.77984835164,175925.0
88,2020-04-19,108257,108366.45946479088,178972.0
89,2020-04-20,108237,109157.9340867616,181228.0
