,date,I,I_p,C_p
0,2020-01-22,1,1.0,1.0
1,2020-01-23,1,1.0,1.0
2,2020-01-24,2,2.0,2.0
3,2020-01-25,2,2.0,2.0
4,2020-01-26,3,3.0,3.0
5,2020-01-27,4,4.0,4.0
6,2020-01-28,4,4.0,4.0
7,2020-01-29,4,6.618924994039548,4.0
8,2020-01-30,4,8.165260018419628,4.0
9,2020-01-31,11,6.129667647726085,11.0
10,2020-02-01,12,6.574106426684166,12.0
11,2020-02-02,15,13.047440683495454,15.0
12,2020-02-03,15,17.39658594098747,15.0
13,2020-02-04,16,26.475613031144878,16.0
14,2020-02-05,19,30.45337099119616,19.0
15,2020-02-06,23,35.028478872762086,23.0
16,2020-02-07,23,23.757257292705887,24.0
17,2020-02-08,23,27.79635147069825,24.0
18,2020-02-09,22,28.16391558831685,25.0
19,2020-02-10,24,30.206017948979458,27.0
20,2020-02-11,25,30.04149331389555,28.0
21,2020-02-12,21,26.962021268012943,28.0
22,2020-02-13,21,24.66763463353794,28.0
23,2020-02-14,21,21.44505067269112,28.0
24,2020-02-15,19,21.444834492451527,28.0
25,2020-02-16,20,20.51265702325697,29.0
26,2020-02-17,20,18.138629000435472,30.0
27,2020-02-18,19,16.426165122487735,31.0
28,2020-02-19,19,19.58007172865692,31.0
29,2020-02-20,87,18.25651622459587,104.0
30,2020-02-21,186,18.256344042211445,204.0
31,2020-02-22,415,95.05023951212296,433.0
32,2020-02-23,578,378.1101628372862,602.0
33,2020-02-24,807,1330.0118464034856,833.0
34,2020-02-25,945,2537.3165536990023,977.0
35,2020-02-26,1227,4129.73619833418,1261.0
36,2020-02-27,1731,2877.1236109782085,1766.0
37,2020-02-28,2302,2850.176365317987,2337.0
38,2020-02-29,3107,2945.795652098047,3150.0
39,2020-03-01,3689,3825.417972912186,3736.0
40,2020-03-02,4277,5337.771129189317,4335.0
41,2020-03-03,5128,6702.733057053288,5186.0
42,2020-03-04,5545,7564.688654299854,5621.0
43,2020-03-05,6012,8648.049549735097,6088.0
44,2020-03-06,6416,8689.911035122663,6593.0
45,2020-03-07,6862,8262.542301156613,7041.0
46,2020-03-08,7146,8526.437905689547,7314.0
47,2020-03-09,7307,8591.977790215991,7478.0
48,2020-03-10,7212,8347.715906591025,7513.0
49,2020-03-11,7407,8437.973898574592,7755.0
50,2020-03-12,7470,8505.257683564918,7869.0
51,2020-03-13,7403,7914.230592990458,7979.0
52,2020-03-14,7504,7867.014035811401,8086.0
53,2020-03-15,7577,7638.190328616874,8162.0
54,2020-03-16,7024,7809.6852174338155,8236.0
55,2020-03-17,6832,7734.0074897505565,8320.0
56,2020-03-18,6789,6905.498368613042,8413.0
57,2020-03-19,6934,6941.473063247694,8565.0
58,2020-03-20,7018,6879.2945464008435,8652.0
59,2020-03-21,7157,6502.197286904497,8799.0
60,2020-03-22,5941,6565.244573912249,8961.0
61,2020-03-23,5941,6548.406868383785,8961.0
62,2020-03-24,5410,6369.40630903521,9037.0
63,2020-03-25,5281,5901.415425001548,9137.0
64,2020-03-26,4966,5225.184246316218,9241.0
65,2020-03-27,4665,4610.635882362562,9332.0
66,2020-03-28,4523,4081.443647891364,9478.0
67,2020-03-29,4398,4478.077378788714,9583.0
68,2020-03-30,4275,3903.077586075085,9661.0
69,2020-03-31,4216,4078.4602067249843,9786.0
70,2020-04-01,4155,3721.0407301480986,9887.0
71,2020-04-02,3979,3752.799987219136,9976.0
72,2020-04-03,3867,3780.9494317856706,10062.0
73,2020-04-04,3654,3922.499945851572,10156.0
74,2020-04-05,3591,3814.2154263005186,10237.0
75,2020-04-06,3500,3464.8505441765697,10284.0
76,2020-04-07,3445,3409.554279165328,10331.0
77,2020-04-08,3408,3139.9166499186604,10384.0
78,2020-04-09,3246,3218.069948981819,10423.0
79,2020-04-10,3125,3134.161776106066,10450.0
80,2020-04-11,3026,3169.574716317536,10480.0
81,2020-04-12,2930,3114.967878909505,10512.0
82,2020-04-13,2873,2836.709548233787,10537.0
83,2020-04-14,2808,2786.5675075172944,10564.0
84,2020-04-15,2750,2575.4057303658483,10591.0
85,2020-04-16,2627,2625.745850907273,10613.0
86,2020-04-17,2576,2532.7758098346194,10635.0
87,2020-04-18,2484,2452.5376098934585,10653.0
88,2020-04-19,2385,2542.083469250669,10661.0
89,2020-04-20,2324,2328.5328743229347,10674.0
90,2020-04-21,2233,2271.7265513697234,10683.0
91,2020-04-22,2179,2224.838854356525,10694.0
92,2020-04-23,1967,2125.406712660914,10708.0
93,2020-04-24,1843,2084.1737410228047,10718.0
94,2020-04-25,1769,1877.14546545024,10728.0
95,2020-04-26,1731,1799.367054951708,10738.0
96,2020-04-27,1654,1634.9036569215225,10752.0
97,2020-04-28,1593,1467.0139479934405,10761.0
98,2020-04-29,1459,1429.3762586683954,10765.0
99,2020-04-30,1454,1484.1881391880518,10774.0
100,2020-05-01,1407,1390.6755293682863,10780.0
101,2020-05-02,1360,1334.8660871386433,10793.0
102,2020-05-03,1332,1306.205608352789,10801.0
103,2020-05-04,1267,1248.129214779221,10804.0
104,2020-05-05,1218,1203.8239612620102,10806.0
105,2020-05-06,1135,1266.4229996824895,10810.0
106,2020-05-07,1082,1176.796363021686,10822.0
107,2020-05-08,1016,1063.264974576702,10840.0
108,2020-05-09,1008,1026.360943939671,10874.0
109,2020-05-10,1021,937.3040479609165,10909.0
110,2020-05-11,1008,891.648323523303,10936.0
111,2020-05-12,1008,858.2114594564965,10962.0
112,2020-05-13,969,919.7113662812053,10991.0
113,2020-05-14,937,940.5375369900626,11018.0
114,2020-05-15,924,947.2032431612944,11037.0
115,2020-05-16,900,939.74464097905,11050.0
116,2020-05-17,898,887.5121558555941,11065.0
117,2020-05-18,877,875.0677152120069,11078.0
118,2020-05-19,781,816.9741457619285,11110.0
119,2020-05-20,723,841.2172225360803,11122.0
120,2020-05-21,716,813.4434486297606,11142.0
121,2020-05-22,705,698.2628993809124,11165.0
122,2020-05-23,711,679.2874959246146,11190.0
123,2020-05-24,713,589.9593581550575,11206.0
124,2020-05-25,681,576.1629413157525,11225.0
125,2020-05-26,701,632.9924000463927,11265.0
126,2020-05-27,735,674.04202083379,11344.0
127,2020-05-28,770,667.5159025887981,11402.0
128,2020-05-29,774,755.0644431307777,11441.0
129,2020-05-30,793,761.4868561081513,11468.0
130,2020-05-31,810,764.5991032820061,11503.0
131,2020-06-01,823,840.0051299762171,11541.0
132,2020-06-02,850,864.6742959194845,11590.0
133,2020-06-03,857,845.3296556136215,11629.0
134,2020-06-04,889,884.4275918263568,11668.0
135,2020-06-05,915,890.1825999084833,11719.0
136,2020-06-06,951,912.0342321065134,11776.0
137,2020-06-07,978,931.5855502276114,11814.0
138,2020-06-08,989,1013.803716077092,11852.0
139,2020-06-09,1015,1047.047203808479,11902.0
140,2020-06-10,1017,1057.0919447531955,11947.0
141,2020-06-11,1057,1095.062774041145,12003.0
142,2020-06-12,1083,1052.343184844954,12051.0
143,2020-06-13,1090,1093.7458458114004,12085.0
144,2020-06-14,1114,1123.201923707562,12121.0
145,2020-06-15,1117,1137.448359153242,12155.0
146,2020-06-16,1145,1165.668639846317,12198.0
147,2020-06-17,1177,1169.6495894338054,12257.0
148,2020-06-18,1191,1213.8713077862985,12306.0
149,2020-06-19,1237,1161.3624619355958,12373.0
150,2020-06-20,1273,1251.7426085525335,12421.0
151,2020-06-21,1277,1279.287520368334,12438.0
152,2020-06-22,1295,1375.7208521945258,12484.0
153,2020-06-23,1324,1316.8570669347173,12535.0
154,2020-06-24,1307,1353.6588279749558,12563.0
155,2020-06-25,1148,1369.7591690688969,12602.0
156,2020-06-26,1054,1326.499590624749,12653.0
157,2020-06-27,1069,1186.7803881802756,12715.0
158,2020-06-28,1046,1108.3269196845627,12757.0
159,2020-06-29,981,978.6101199587524,12800.0
160,2020-06-30,955,869.8142488745116,12850.0
161,2020-07-01,938,857.4181087019887,12904.0
162,2020-07-02,926,867.5240079584709,12967.0
163,2020-07-03,,926.0,13028.11
164,2020-07-04,,932.6209129147035,13087.386700000001
165,2020-07-05,,939.2890726706449,13144.885099000001
166,2020-07-06,,946.0048150887175,13200.658546030001
167,2020-07-07,,952.7684783576112,13254.7587896491
168,2020-07-08,,959.5804030502329,13307.236025959626
169,2020-07-09,,966.4409321402348,13358.138945180835
170,2020-07-10,,973.3504110186542,13407.514776825408
171,2020-07-11,,980.3091875106642,13455.409333520643
172,2020-07-12,,987.3176118924366,13501.867053515021
173,2020-07-13,,994.3760369081174,13546.931041909567
174,2020-07-14,,1001.4848177869151,13590.643110652278
175,2020-07-15,,1008.6443122603033,13633.043817332707
176,2020-07-16,,1015.8548805793386,13674.172502812724
177,2020-07-17,,1023.1168855320923,13714.06732772834
178,2020-07-18,,1030.4306924612,13752.765307896489
179,2020-07-19,,1037.7966692815266,13790.302348659592
180,2020-07-20,,1045.21518649795,13826.713278199803
181,2020-07-21,,1052.6866172232615,13862.031879853806
182,2020-07-22,,1060.2113371961862,13896.290923458191
183,2020-07-23,,1067.7897247995236,13929.522195754444
184,2020-07-24,,1075.422161078407,13961.756529881808
185,2020-07-25,,1083.109029758685,13993.023833985351
186,2020-07-26,,1090.8507172654247,14023.353118965788
187,2020-07-27,,1098.6476127415372,14052.772525396811
188,2020-07-28,,1106.5001080665268,14081.309349634903
189,2020-07-29,,1114.408597875364,14108.990069145852
190,2020-07-30,,1122.3734795774833,14135.840367071472
191,2020-07-31,,1130.3951533759064,14161.885156059325
192,2020-08-01,,1138.4740222864918,14187.148601377541
193,2020-08-02,,1146.610492157312,14211.65414333621
194,2020-08-03,,1154.8049716881565,14235.42451903612
195,2020-08-04,,1163.0578724501663,14258.481783465031
196,2020-08-05,,1171.3696089055954,14280.847329961076
197,2020-08-06,,1179.7405984277032,14302.54191006224
198,2020-08-07,,1188.1712613207774,14323.58565276037
199,2020-08-08,,1196.6620208402894,14343.998083177556
200,2020-08-09,,1205.213303213181,14363.798140682225
201,2020-08-10,,1213.825537658285,14383.004196461756
202,2020-08-11,,1222.499156406879,14401.6340705679
203,2020-08-12,,1231.2345947233748,14419.705048450858
204,2020-08-13,,1240.032290926143,14437.233896997328
205,2020-08-14,,1248.8926864084735,14454.236880087403
206,2020-08-15,,1257.8162256596734,14470.729773684776
207,2020-08-16,,1266.803356286303,14486.727880474227
208,2020-08-17,,1275.8545290335503,14502.246044059995
209,2020-08-18,,1284.9701978067453,14517.29866273819
210,2020-08-19,,1294.150819693014,14531.89970285604
211,2020-08-20,,1303.3968549830736,14546.062711770355
212,2020-08-21,,1312.7087671931704,14559.80083041724
213,2020-08-22,,1322.0870230871597,14573.126805504719
214,2020-08-23,,1331.5320926987297,14586.053001339573
215,2020-08-24,,1341.0444493537693,14598.591411299381
216,2020-08-25,,1350.624569692882,14610.753668960397
217,2020-08-26,,1360.2729336940445,14622.551058891582
218,2020-08-27,,1369.990024695413,14633.994527124833
219,2020-08-28,,1379.776329418278,14645.094691311086
220,2020-08-29,,1389.632337990166,14655.861850571751
221,2020-08-30,,1399.5585439680913,14666.305995054598
222,2020-08-31,,1409.5554443619587,14676.436815202958
223,2020-09-01,,1419.623539658116,14686.263710746869
224,2020-09-02,,1429.7633338430596,14695.795799424463
225,2020-09-03,,1439.9753344272922,14705.041925441728
226,2020-09-04,,1450.2600524693337,14714.010667678476
227,2020-09-05,,1460.6180025998883,14722.710347648122
228,2020-09-06,,1471.0497030461647,14731.14903721868
229,2020-09-07,,1481.555675656354,14739.334566102121
230,2020-09-08,,1492.1364459242645,14747.274529119059
231,2020-09-09,,1502.7925430141138,14754.976293245487
232,2020-09-10,,1513.52449978548,14762.447004448122
233,2020-09-11,,1524.3328528184134,14769.693594314678
234,2020-09-12,,1535.2181424387068,14776.722786485238
235,2020-09-13,,1546.1809127433296,14783.54110289068
236,2020-09-14,,1557.2217116260222,14790.154869803959
237,2020-09-15,,1568.3410908030548,14796.57022370984
238,2020-09-16,,1579.5396058391502,14802.793116998544
239,2020-09-17,,1590.8178161735702,14808.829323488588
240,2020-09-18,,1602.17628514637,14814.68444378393
241,2020-09-19,,1613.6155800248173,14820.363910470413
242,2020-09-20,,1625.136272029981,14825.872993156301
243,2020-09-21,,1636.7389363634863,14831.216803361613
244,2020-09-22,,1648.4241522344412,14836.400299260764
245,2020-09-23,,1660.1925028865319,14841.42829028294
246,2020-09-24,,1672.04457562529,14846.30544157445
247,2020-09-25,,1683.9809618455322,14851.036278327214
248,2020-09-26,,1696.0022570589722,14855.625189977394
249,2020-09-27,,1708.109060922007,14860.07643427807
250,2020-09-28,,1720.3019772636787,14864.394141249724
251,2020-09-29,,1732.5816141138105,14868.58231701223
252,2020-09-30,,1744.9485837313207,14872.644847501859
253,2020-10-01,,1757.4035026327142,14876.5855020768
254,2020-10-02,,1769.9469916207518,14880.407937014492
255,2020-10-03,,1782.5796758132992,14884.115698904054
256,2020-10-04,,1795.3021846723573,14887.712227936929
257,2020-10-05,,1808.1151520332721,14891.200861098818
258,2020-10-06,,1821.0192161341283,14894.58483526585
259,2020-10-07,,1834.0150196453249,14897.867290207872
260,2020-10-08,,1847.1032096993358,14901.051271501634
261,2020-10-09,,1860.2844379206547,14904.139733356582
262,2020-10-10,,1873.5593604559263,14907.135541355881
263,2020-10-11,,1886.928638004264,14910.041475115202
264,2020-10-12,,1900.3929358477558,14912.860230861743
265,2020-10-13,,1913.9529238821585,14915.594423935887
266,2020-10-14,,1927.6092766477818,14918.246591217807
267,2020-10-15,,1941.3626733605624,14920.81919348127
268,2020-10-16,,1955.213797943331,14923.314617676828
269,2020-10-17,,1969.1633390572697,14925.735179146519
270,2020-10-18,,1983.211990133565,14928.08312377212
271,2020-10-19,,1997.360449405253,14930.360630058953
272,2020-10-20,,2011.6094199392612,14932.56981115718
