,date,I,I_p,C_p
0,2020-01-22,0,0.0,0.0
1,2020-01-23,0,0.0,0.0
2,2020-01-24,0,0.0,0.0
3,2020-01-25,0,0.0,0.0
4,2020-01-26,0,0.0,0.0
5,2020-01-27,0,0.0,0.0
6,2020-01-28,0,0.0,0.0
7,2020-01-29,0,0.0,0.0
8,2020-01-30,0,0.0,0.0
9,2020-01-31,0,0.0,0.0
10,2020-02-01,1,0.0,1.0
11,2020-02-02,1,0.0,1.0
12,2020-02-03,1,0.0,1.0
13,2020-02-04,1,0.0,1.0
14,2020-02-05,1,0.9607894322434296,1.0
15,2020-02-06,1,0.9607894322434296,1.0
16,2020-02-07,1,0.9607894322434296,1.0
17,2020-02-08,1,0.9607894322434296,1.0
18,2020-02-09,2,0.9607894322434296,2.0
19,2020-02-10,2,0.9607894322434296,2.0
20,2020-02-11,2,3.4553583347021686,2.0
21,2020-02-12,2,4.757784356316672,2.0
22,2020-02-13,2,1.9215788506626132,2.0
23,2020-02-14,2,1.9215788506626132,2.0
24,2020-02-15,0,1.9215788506626132,2.0
25,2020-02-16,0,1.9215788506626132,2.0
26,2020-02-17,0,0.2405855448805449,2.0
27,2020-02-18,0,0.05915027636736664,2.0
28,2020-02-19,0,0.0,2.0
29,2020-02-20,0,0.0,2.0
30,2020-02-21,0,0.0,2.0
31,2020-02-22,0,0.0,2.0
32,2020-02-23,0,0.0,2.0
33,2020-02-24,0,0.0,2.0
34,2020-02-25,4,0.0,6.0
35,2020-02-26,11,0.0,13.0
36,2020-02-27,13,0.0,15.0
37,2020-02-28,30,0.0,32.0
38,2020-02-29,43,47.67768641461422,45.0
39,2020-03-01,82,74.9876301415436,84.0
40,2020-03-02,118,154.95194879315153,120.0
41,2020-03-03,162,212.8453920044513,165.0
42,2020-03-04,218,343.9037822793695,222.0
43,2020-03-05,254,319.4496406117026,259.0
44,2020-03-06,393,407.72044174343125,400.0
45,2020-03-07,460,406.4953177248237,500.0
46,2020-03-08,626,668.1006787291624,673.0
47,2020-03-09,1013,877.6062136229416,1073.0
48,2020-03-10,1628,947.4565515649043,1695.0
49,2020-03-11,2040,2188.303648435146,2277.0
50,2020-03-12,2039,4266.653266441218,2277.0
51,2020-03-13,4906,4273.78505168367,5232.0
52,2020-03-14,5679,2737.4386017211764,6391.0
53,2020-03-15,6992,10099.900553530157,7798.0
54,2020-03-16,9070,18369.42592545985,9942.0
55,2020-03-17,10187,9682.474535733358,11748.0
56,2020-03-18,12206,14246.783379946153,13910.0
57,2020-03-19,16026,15536.88277788337,17963.0
58,2020-03-20,17779,15875.164672746772,20410.0
59,2020-03-21,21874,24549.971457185333,25374.0
60,2020-03-22,24421,27091.473601518872,28768.0
61,2020-03-23,30250,29160.480974575414,35136.0
62,2020-03-24,33283,34960.01211470104,39885.0
63,2020-03-25,40501,39834.50186257929,49515.0
64,2020-03-26,46406,46282.800073722996,57786.0
65,2020-03-27,51224,52887.1519140181,65719.0
66,2020-03-28,54968,65632.49944254846,73235.0
67,2020-03-29,58598,65394.73192010648,80110.0
68,2020-03-30,63460,65896.88462167242,87956.0
69,2020-03-31,68200,67098.7355271715,95923.0
70,2020-04-01,72084,72664.61114046152,104118.0
71,2020-04-02,74974,79732.72580943468,112065.0
72,2020-04-03,77488,82885.50247608981,119199.0
73,2020-04-04,80002,82839.98406314949,126168.0
74,2020-04-05,80925,83389.9921747023,131646.0
75,2020-04-06,82897,84452.45110986946,136675.0
76,2020-04-07,84689,85992.72537778706,141942.0
77,2020-04-08,85407,85592.19583971733,148220.0
78,2020-04-09,85610,89711.10197373989,153222.0
79,2020-04-10,86524,88310.17322138601,158273.0
80,2020-04-11,87312,86699.40621460152,163027.0
81,2020-04-12,87231,87448.00541569237,166831.0
82,2020-04-13,87616,89011.50948674246,170099.0
83,2020-04-14,86981,88386.8043060225,172541.0
84,2020-04-15,88083,89161.18405223322,177644.0
85,2020-04-16,90836,89062.46249751904,184948.0
86,2020-04-17,96040,89437.0959041884,190839.0
87,2020-04-18,96886,94105.99004316976,191726.0
88,2020-04-19,100864,103205.72472689512,198674.0
89,2020-04-20,98771,104921.34520985787,200210.0
90,2020-04-21,100382,103893.139573022,204178.0
91,2020-04-22,100757,102690.28420223566,208389.0
92,2020-04-23,101617,96793.80891711618,213024.0
